size,msg,repetition,time
1000,25,61,1063068799
1000,25,62,1227590563
1000,25,63,1253938901
1000,25,64,1381590327
1000,25,65,1644533555
1000,25,66,2261441727
1000,25,67,1380530388
1000,25,68,1361422477
1000,25,69,1213732169
1000,25,70,1022901473
1000,25,71,1124144341
1000,25,72,1166609647
1000,25,73,1075605316
1000,25,74,1382818691
1000,25,75,1739247107
1000,25,76,1327617782
1000,25,77,2662697179
1000,25,78,1279744017
1000,25,79,1436242725
1000,25,80,1338313045
1000,25,81,1534149281
1000,25,82,1521826016
1000,25,83,1472318395
1000,25,84,1442634590
1000,25,85,1164937692
1000,25,86,1416519702
1000,25,87,1675394795
1000,25,88,1100359866
1000,25,89,1175738057
1000,25,90,1139833431
1000,25,91,1419227047
1000,25,92,1063140287
1000,25,93,1207674146
1000,25,94,1067523048
1000,25,95,1361782038
1000,25,96,1901474751
1000,25,97,1502322333
1000,25,98,1393137442
1000,25,99,1416198318
1000,50,0,1741172760
1000,50,1,2105781530
1000,50,2,1873254958
1000,50,3,1837528753
1000,50,4,1956661396
1000,50,5,2103482271
1000,50,6,2032546753
